category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
image,mnist,sample_0056,<memory>,784,212,196,0.7803,2.0654,2.8984,0.304,0.375,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0057,<memory>,784,152,151,0.8587,1.3235,1.8747,0.218,0.298,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0058,<memory>,784,151,122,0.8409,1.5184,2.0547,0.217,0.263,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0059,<memory>,784,131,148,0.8834,1.0991,1.5335,0.188,0.295,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0060,<memory>,784,181,170,0.8167,1.741,2.3852,0.26,0.333,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0061,<memory>,784,162,163,0.8513,1.4172,1.9231,0.232,0.306,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0062,<memory>,784,174,190,0.8219,1.6992,2.2999,0.25,0.346,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0063,<memory>,784,208,183,0.7703,2.1614,3.0273,0.298,0.381,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0064,<memory>,784,203,195,0.8033,1.8593,2.5745,0.291,0.371,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0065,<memory>,784,145,154,0.8691,1.2649,1.6577,0.208,0.291,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0066,<memory>,784,112,72,0.8978,0.9196,1.4299,0.161,0.196,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0067,<memory>,784,139,145,0.8723,1.2032,1.6801,0.199,0.296,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0068,<memory>,784,151,127,0.866,1.1631,1.9616,0.217,0.281,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0069,<memory>,784,184,158,0.7976,1.883,2.71,0.264,0.334,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0070,<memory>,784,149,149,0.8598,1.3299,1.8261,0.214,0.297,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0071,<memory>,784,163,168,0.8405,1.5373,2.0285,0.234,0.322,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0072,<memory>,784,102,94,0.9191,0.7538,1.0823,0.146,0.216,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0073,<memory>,784,198,189,0.8052,1.8707,2.4927,0.284,0.349,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0074,<memory>,784,164,169,0.834,1.5895,2.1343,0.235,0.325,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0075,<memory>,784,192,173,0.8055,1.8423,2.5386,0.276,0.331,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0076,<memory>,784,182,182,0.8173,1.7615,2.3248,0.261,0.347,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0077,<memory>,784,115,115,0.8959,0.9748,1.383,0.165,0.246,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0078,<memory>,784,126,115,0.8824,1.1043,1.5552,0.181,0.262,"pixels (28, 28), dtype=uint8"
image,mnist,sample_0079,<memory>,784,162,154,0.8416,1.5157,2.0359,0.232,0.312,"pixels (28, 28), dtype=uint8"
audio,PolyAI_minds14,sample_0000,602ba55abb1e6d0fbce92065.wav,86758,40573,56517,0.2562,6.4257,10.9498,0.935,0.838,"HF audio bytes, 86758 bytes"
audio,PolyAI_minds14,sample_0001,602baf24bb1e6d0fbce922a7.wav,53306,26637,39526,0.2036,6.9606,11.5637,0.937,0.961,"HF audio bytes, 53306 bytes"
