category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,text_repeat_frequency,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0127,<memory>,954,535,505,0.4846,2.25,4.5467,7.3989,0.701,0.75,"HF text, 2 lines, 954 bytes"
text,wikitext,sample_0128,<memory>,246,172,154,0.519,2.0,4.4185,6.5558,0.787,0.801,"HF text, 2 lines, 246 bytes"
text,wikitext,sample_0129,<memory>,659,413,411,0.4831,2.0,4.5505,7.4407,0.783,0.833,"HF text, 2 lines, 659 bytes"
text,wikitext,sample_0130,<memory>,618,366,334,0.4925,2.0,4.4989,7.2426,0.74,0.748,"HF text, 2 lines, 618 bytes"
text,wikitext,sample_0135,<memory>,509,338,347,0.4883,0.0,4.5217,7.3302,0.83,0.887,"HF text, 2 lines, 509 bytes"
text,wikitext,sample_0136,<memory>,444,288,305,0.4981,0.0,4.4588,7.1419,0.73,0.902,"HF text, 2 lines, 444 bytes"
text,wikitext,sample_0137,<memory>,458,295,309,0.5004,0.0,4.4337,7.1195,0.805,0.915,"HF text, 2 lines, 458 bytes"
text,wikitext,sample_0144,<memory>,418,269,267,0.5156,0.0,4.331,6.8397,0.724,0.859,"HF text, 2 lines, 418 bytes"
text,wikitext,sample_0145,<memory>,412,272,314,0.5106,0.0,4.2746,7.1107,0.743,0.982,"HF text, 2 lines, 412 bytes"
text,wikitext,sample_0149,<memory>,242,171,189,0.5213,0.0,4.3096,6.6983,0.795,0.966,"HF text, 2 lines, 242 bytes"
text,wikitext,sample_0150,<memory>,430,289,292,0.4978,0.0,4.4484,7.1743,0.756,0.898,"HF text, 2 lines, 430 bytes"
text,wikitext,sample_0151,<memory>,432,290,292,0.4985,0.0,4.4743,7.0983,0.839,0.902,"HF text, 2 lines, 432 bytes"
text,wikitext,sample_0155,<memory>,437,282,286,0.4973,0.0,4.497,7.091,0.726,0.882,"HF text, 2 lines, 437 bytes"
